Taxon,Habitat,Diet,weight (g),BMR
Saguinus geoffroyi,Arboreal,Omnivorous,225,1.04
Aotus trivirgatus,Arboreal,Fruit,991,0.45
Saimiri sciureus,Arboreal,Fruit,590,0.83
Macaca mulatta,Arboreal,Fruit,5380,0.37
Cercocebus torquatus,Arboreal,Fruit,4100,0.41
Papio anubis,Terrestrial,Omnivorous,9500,0.3
Papio papio,Terrestrial,Omnivorous,6230,0.41
Pongo pygmaeus,Arboreal,Fruit,16200,0.3
Pan troglodytes,Arboreal,Omnivorous,36900,0.26
Homo sapiens,Terrestrial,Omnivorous,70000,0.21
Alopex lagopus,Terrestrial,Vertebrates,6000,0.73
Vulpes vulpes,Terrestrial,Vertebrates,9000,0.55
Lycaon pictus,Terrestrial,Vertebrates,8750,0.67
Fennecus zerda,Terrestrial,Invertebrates,1106,0.36
Ursus americanus,Terrestrial,Omnivorous,77270,0.36
Potos flavus,Arboreal,Fruit,2400,0.32
Mustela erminea,Terrestrial,Vertebrates,227,1.88
Mustela frenata,Terrestrial,Vertebrates,297,0.95
Mustela nivalis,Terrestrial,Vertebrates,77,2.29
Mustela vison,Terrestrial,Vertebrates,660,0.74
Martes americanus,Terrestrial,Vertebrates,1038,0.66
Martes martes,Terrestrial,Vertebrates,9200,0.8
Gulo gulo,Terrestrial,Vertebrates,12700,0.46
Meles meles,Terrestrial,Invertebrates,11050,0.27
Lutra lutra,Aquatic,Vertebrates,10000,0.45
Enhydra lutris,Aquatic,Vertebrates,18000,0.72
Nandinia binotata,Arboreal,Omnivorous,42700,0.27
Arctogalidia trivirgata,Arboreal,Omnivorous,2013,0.3
Paradoxurus hermaphroditus,Arboreal,Omnivorous,3410,0.21
Arctictis binturong,Arboreal,Omnivorous,14280,0.16
Herpestes auropunctatus,Terrestrial,Vertebrates,611,0.75
Proteles cristata,Terrestrial,Invertebrates,7710,0.25
Felis silvestris,Terrestrial,Vertebrates,3260,0.71
Acinonyx jubatus,Terrestrial,Vertebrates,39000,0.35
Phoca fasciata,Aquatic,Vertebrates,54000,0.39
Phoca vitulina,Aquatic,Vertebrates,27400,0.48
Pagophilus groenlandicus,Aquatic,Vertebrates,38600,0.38
Tursiops truncatus,Aquatic,Vertebrates,175000,0.34
Phocoena phocoena,Aquatic,Vertebrates,28500,0.68
Elephas maximus,Terrestrial,Leaves,2730000,0.15
Equus caballus,Terrestrial,Grass,260000,0.25
Dendrohyrax dorsalis,Arboreal,Leaves,2210,0.42
Heterohyrax brucei,Terrestrial,Leaves,1660,0.43
Procavia capensis,Terrestrial,Leaves,2630,0.41
Procavia habessinica,Terrestrial,Leaves,2250,0.41
Procavia johnstoni,Terrestrial,Leaves,2750,0.45
Orycterop usafer,Terrestrial,Invertebrates,48000,0.13
Sus scrofa,Terrestrial,Omnivorous,75000,0.11
Tayassu tajacu,Terrestrial,Grass,20200,0.29
Camelus dromedarius,Terrestrial,Grass,407000,0.1
Cervus elaphus,Terrestrial,Grass,58000,0.28
Rangifer tarandus,Terrestrial,Grass,94000,0.25
Odocoileus virginianus,Terrestrial,Grass,58590,0.45
Capreolus capreolus,Terrestrial,Grass,21500,0.4
Antilocapra americanus,Terrestrial,Grass,32000,0.28
Tragelaphus oryx,Terrestrial,Grass,150000,0.24
Bos taurus,Terrestrial,Grass,272000,0.17
Kobus ellipsiprymnus,Terrestrial,Grass,100000,0.27
Connochaetus taurinus,Terrestrial,Grass,140000,0.2
Oreamnos americanus,Terrestrial,Grass,32000,0.26
Capra sp.,Terrestrial,Grass,36000,0.19
Ovis aries,Terrestrial,Grass,30000,0.34
Ovis canadensis,Terrestrial,Grass,65000,0.34
Manis crassicaudata,Terrestrial,Invertebrates,15910,0.07
Manis javanica,Terrestrial,Invertebrates,4220,0.26
Manis tricuspis,Terrestrial,Invertebrates,2730,0.33
Sciurus aberti,Arboreal,Seeds/Nuts,624,0.69
Tamiasciurus hudsonicus,Arboreal,Seeds/Nuts,224,1.09
Spermophilus citellus,Terrestrial,Omnivorous,240,0.95
Spermophilus leucums,Terrestrial,Omnivorous,96,1
Spermophilus tereticaudus,Terrestrial,Omnivorous,129,1
Spermophilus undulatus,Terrestrial,Omnivorous,750,0.9
Tamias alpinus,Arboreal,Seeds/Nuts,39,1.48
Tamias amoenus,Arboreal,Seeds/Nuts,57,1.45
Tamias striatus,Arboreal,Seeds/Nuts,107,1.25
Glaucomys volans,Arboreal,Seeds/Nuts,70,1.29
Geomys pinetis,Fossorial,Roots,203,0.67
Perognathus californicus,Terrestrial,Seeds/Nuts,22,1
Perognathus longimembrus,Terrestrial,Seeds/Nuts,8.2,2
Microdipodops pallidus,Terrestrial,Seeds/Nuts,15,1.5
Dipodomys agilis,Terrestrial,Seeds/Nuts,61,1.02
Dipodomys merriami,Terrestrial,Seeds/Nuts,37,1.29
Dipodomys microps,Terrestrial,Leaves,57,1.17
Dipodomys panamintinus,Terrestrial,Seeds/Nuts,57,1.2
Liomys irroratus,Terrestrial,Seeds/Nuts,48,1.1
Liomys salvini,Terrestrial,Seeds/Nuts,44,1.07
Heteromys anomalus,Arboreal,Seeds/Nuts,69,1.45
Reithrodontomys megalotis,Terrestrial,Seeds/Nuts,9,1.94
Peromyscus californicus,Terrestrial,Seeds/Nuts,47.8,1.02
Peromyscus crinitus,Terrestrial,Seeds/Nuts,19,1.55
Peromyscus eremicus,Terrestrial,Seeds/Nuts,20.8,1.55
Peromyscus leucopus,Terrestrial,Seeds/Nuts,26,2.2
Peromyscus maniculatus,Terrestrial,Seeds/Nuts,19,1.9
Peromyscus megalops,Terrestrial,Seeds/Nuts,66,1.4
Peromyscus sitkensis,Terrestrial,Seeds/Nuts,28,1.65
Peromyscus thomasi,Terrestrial,Seeds/Nuts,111,1.1
Peromyscus truei,Terrestrial,Seeds/Nuts,33,1.7
Onychomys terridus,Terrestrial,Invertebrates,19,1.55
Baiomys taylori,Terrestrial,Grass,7.3,2
Oxymycterus roberti,Terrestrial,Invertebrates,84,1.09
Sigmodon hispidus,Terrestrial,Grass,141,1.03
